Class ID	Parents
DOID_7520	DOID_7521
DOID_3109	DOID_614
DOID_1624	
DOID_0060099	DOID_17|DOID_0060085
DOID_8709	
DOID_693	DOID_214
DOID_0070122	DOID_0050778
DOID_0060030	DOID_417
DOID_0060013	DOID_627
DOID_0110987	DOID_0050777
DOID_0090025	DOID_0090020
DOID_13016	
DOID_0090042	DOID_543
DOID_3950	DOID_3953
DOID_0090135	DOID_0090131
DOID_3229	DOID_76
DOID_145	
DOID_9125	DOID_8602
DOID_3076	DOID_3069
DOID_9460	DOID_363
DOID_0070012	DOID_0050569
DOID_11120	DOID_10132
DOID_0060789	DOID_0060786
DOID_2749	DOID_2747
DOID_6951	DOID_3378
DOID_5200	DOID_18
DOID_8924	DOID_8925
DOID_10322	DOID_10316
DOID_3201	DOID_2621|DOID_3192
DOID_799	DOID_866
DOID_6925	DOID_574
DOID_6228	DOID_4901
DOID_0050702	DOID_0050701
DOID_1024	DOID_0050338
DOID_6563	
DOID_0060569	DOID_2256
DOID_0060586	DOID_3490
DOID_0060679	DOID_0060674
DOID_0060696	DOID_0060695
DOID_9799	DOID_5614
DOID_8556	DOID_8557
DOID_14415	DOID_8125
DOID_7012	
DOID_0060500	DOID_1205
DOID_2893	DOID_4362
DOID_4866	DOID_0050904
DOID_13664	DOID_9588
DOID_4117	DOID_136
DOID_14759	DOID_13359
DOID_10034	DOID_5614
DOID_4505	DOID_0001816
DOID_11721	DOID_2747
DOID_0060252	DOID_10124
DOID_4143	DOID_184
DOID_7479	DOID_10021
DOID_0050253	DOID_883
DOID_7867	DOID_4438
DOID_0060362	DOID_0060361
DOID_0050270	
DOID_0060472	DOID_37
DOID_12196	DOID_4677
DOID_8107	
DOID_10934	DOID_10935
DOID_6108	
DOID_0110400	DOID_10584
DOID_14499	DOID_1927
DOID_0110510	DOID_0050565
DOID_10507	DOID_1787
DOID_972	
DOID_1698	
DOID_7385	
DOID_912	
DOID_5386	DOID_657|DOID_3683
DOID_2150	DOID_2394
DOID_5057	DOID_4205|DOID_5058
DOID_3572	DOID_4193
DOID_5933	
DOID_0110596	DOID_9562
DOID_2512	DOID_0050736
DOID_9199	
DOID_5539	DOID_4939|DOID_1749
DOID_12633	
DOID_5874	DOID_5875
DOID_0060329	DOID_229
DOID_730	DOID_731
DOID_0060439	DOID_9252
DOID_4023	DOID_6217
DOID_11193	DOID_11971
DOID_7747	DOID_4656
DOID_11860	
DOID_5565	DOID_3307
DOID_0110486	DOID_0050565
DOID_1093	
DOID_10198	
DOID_11020	
DOID_9141	
DOID_3454	DOID_6713
DOID_0060012	DOID_627
DOID_10635	
DOID_8873	
DOID_0110356	DOID_10584
DOID_0110339	DOID_12347
DOID_14515	DOID_0060388
DOID_3607	DOID_3608|DOID_3603
DOID_3119	DOID_0050686|DOID_77
DOID_0110973	DOID_0050581
DOID_5780	
DOID_0110990	DOID_0050777
DOID_5083	DOID_1459
DOID_3781	DOID_1100
DOID_0060105	
DOID_0060122	DOID_0050686|DOID_16
DOID_0080042	DOID_0050950
DOID_8993	
DOID_0050013	DOID_0060158
DOID_0050123	
DOID_12592	
DOID_7142	DOID_0050685|DOID_3284
DOID_0080025	
DOID_0080008	DOID_0080001
DOID_9115	
DOID_0080118	DOID_0111139
DOID_11638	DOID_10034|DOID_9835
DOID_3428	DOID_633
DOID_0060816	DOID_0060309
DOID_0080135	DOID_700
DOID_0070026	DOID_2729
DOID_3816	DOID_3418|DOID_3817
DOID_0110843	DOID_0050427
DOID_0110826	DOID_0050439
DOID_6606	DOID_4471
DOID_8084	
DOID_2883	DOID_657|DOID_0060087|DOID_47
DOID_11597	
DOID_0110809	DOID_2476
DOID_10774	
DOID_8058	DOID_3565|DOID_3643
DOID_6573	
DOID_6244	DOID_6245
DOID_0050789	DOID_0050736
DOID_4942	
DOID_10222	
DOID_2918	
DOID_8117	DOID_331
DOID_0110022	DOID_10871
DOID_7969	DOID_6477
DOID_4697	DOID_3193
DOID_8908	
DOID_10162	
DOID_9021	DOID_6050
DOID_4876	DOID_305|DOID_11920
DOID_8546	
DOID_607	DOID_331
DOID_10422	
DOID_0050500	
DOID_13315	
DOID_0060702	DOID_0060699
DOID_0050610	DOID_8719
DOID_11225	
DOID_294	DOID_292
