DOID	Number_of_ancestors
DOID_11367	9
DOID_0110490	9
DOID_7828	1
DOID_4056	1
DOID_14064	8
DOID_10542	1
DOID_14066	9
DOID_10540	8
DOID_10547	9
DOID_10546	1
DOID_10017	7
DOID_14063	1
DOID_10019	1
DOID_917	9
DOID_10549	1
DOID_10548	8
DOID_14068	7
DOID_14069	7
DOID_1924	6
DOID_1798	8
DOID_5759	8
DOID_5758	9
DOID_0110491	9
DOID_5757	9
DOID_5751	10
DOID_5750	10
DOID_5752	11
DOID_1511	1
DOID_8762	1
DOID_12804	7
DOID_0050756	8
DOID_13728	1
DOID_9417	1
DOID_5830	11
DOID_1517	8
DOID_11949	8
DOID_11944	1
DOID_11945	1
DOID_11946	1
DOID_11947	1
DOID_13729	1
DOID_11943	1
DOID_5831	9
DOID_0080007	8
DOID_13593	9
DOID_13592	1
DOID_1515	1
DOID_9637	6
DOID_6067	10
DOID_6065	9
DOID_0110308	9
DOID_0110309	9
DOID_2186	1
DOID_8938	1
DOID_8939	1
DOID_8936	6
DOID_8937	9
DOID_0110302	11
DOID_0110303	11
DOID_0110304	11
DOID_0110305	11
DOID_8930	8
DOID_8931	9
DOID_14248	11
DOID_7442	9
DOID_7441	8
DOID_0110251	10
DOID_1879	1
DOID_7444	7
DOID_0110256	10
DOID_14242	1
DOID_14243	10
DOID_14244	10
DOID_14245	12
DOID_14247	10
DOID_1724	6
DOID_1725	6
DOID_1726	9
DOID_1727	8
DOID_4936	1
DOID_4937	1
DOID_4934	8
DOID_4935	1
DOID_13731	9
DOID_13046	10
DOID_4938	9
DOID_4939	8
DOID_13734	1
DOID_13737	1
DOID_13736	7
DOID_3583	1
DOID_3580	1
DOID_3586	1
DOID_3587	8
DOID_3584	1
DOID_13514	8
DOID_3588	1
DOID_3589	1
DOID_0110258	10
DOID_2773	7
DOID_411	1
DOID_416	1
DOID_417	6
DOID_1428	6
DOID_6037	9
DOID_5641	9
DOID_2599	7
DOID_1522	10
DOID_5948	10
DOID_8751	1
DOID_2778	1
DOID_0050513	7
DOID_0050163	1
DOID_1284	6
DOID_0110882	7
DOID_0050162	1
DOID_3829	7
DOID_8754	1
DOID_1427	1
DOID_0050160	7
DOID_0110014	13
DOID_4146	1
DOID_6031	1
DOID_9512	11
DOID_9514	1
DOID_9239	1
DOID_4818	1
DOID_0050655	7
DOID_0050654	10
DOID_0050657	7
DOID_8203	10
DOID_0050651	8
DOID_8205	1
DOID_0050653	1
