DOID	Number_of_ancestors
DOID_11044	4
DOID_11047	1
DOID_11046	1
DOID_11042	4
DOID_11049	7
DOID_7175	9
DOID_75	5
DOID_74	4
DOID_77	4
DOID_76	5
DOID_71	1
DOID_70	1
DOID_73	1
DOID_72	1
DOID_1749	7
DOID_0060640	6
DOID_13417	8
DOID_5621	8
DOID_0050947	9
DOID_0110132	8
DOID_669	1
DOID_668	9
DOID_0050310	1
DOID_660	7
DOID_663	9
DOID_662	1
DOID_665	1
DOID_664	8
DOID_6232	11
DOID_6231	6
DOID_6230	11
DOID_0060396	6
DOID_6239	10
DOID_6238	1
DOID_7014	7
DOID_7015	1
DOID_7016	8
DOID_10319	9
DOID_0050311	1
DOID_2146	6
DOID_1919	6
DOID_7013	10
DOID_10312	1
DOID_10310	7
DOID_10311	1
DOID_1913	1
DOID_7019	1
DOID_1911	7
DOID_1910	9
DOID_2840	1
DOID_1554	8
DOID_7840	9
DOID_13960	1
DOID_13962	1
DOID_0060079	7
DOID_13964	11
DOID_599	7
DOID_13969	1
DOID_594	6
DOID_593	7
DOID_591	6
DOID_12107	1
DOID_2140	7
DOID_1458	7
DOID_264	8
DOID_0060258	7
DOID_0060259	4
DOID_5384	8
DOID_6498	7
DOID_6496	10
DOID_6495	10
DOID_6494	10
DOID_6492	9
DOID_6491	9
DOID_0110289	11
DOID_0110288	11
DOID_0110281	11
DOID_0110280	11
DOID_0110283	11
DOID_0110282	11
DOID_0110285	11
DOID_0110284	11
DOID_0110287	11
DOID_0110286	11
DOID_0060256	7
DOID_12548	1
DOID_4895	8
DOID_4894	7
DOID_4897	9
DOID_4896	8
DOID_13348	8
DOID_4890	10
DOID_4893	9
DOID_4892	10
DOID_845	7
DOID_844	1
DOID_5382	10
DOID_846	1
DOID_13340	1
DOID_13341	11
DOID_13342	1
DOID_13343	1
DOID_3205	9
DOID_3204	9
DOID_3206	9
DOID_3201	9
DOID_3200	11
DOID_3203	9
DOID_3202	10
DOID_13518	1
DOID_3209	8
DOID_3208	1
DOID_2075	10
DOID_0110064	10
DOID_2077	1
DOID_2076	9
DOID_0110061	10
DOID_2070	1
DOID_0110063	10
DOID_2072	9
DOID_0050317	1
DOID_0110069	9
DOID_0110068	9
DOID_4099	1
DOID_0070066	9
DOID_8872	6
DOID_4094	1
DOID_4091	1
DOID_4090	7
DOID_4092	1
DOID_6828	1
DOID_6826	1
DOID_6827	8
DOID_13310	6
DOID_6823	8
DOID_6820	1
DOID_8871	1
DOID_2848	7
DOID_3674	10
DOID_3675	8
DOID_3676	1
DOID_3677	7
DOID_3671	9
DOID_3672	9
DOID_0080015	3
DOID_8089	1
DOID_9321	1
DOID_1319	8
DOID_0070082	7
DOID_0070083	7
DOID_0070080	7
DOID_0070081	7
DOID_0070086	7
DOID_0070087	7
DOID_0070084	7
DOID_0070085	7
DOID_0070088	7
DOID_0070089	7
DOID_5858	1
DOID_5859	9
DOID_0050408	1
DOID_0050409	1
DOID_5852	9
DOID_0050405	1
DOID_5850	9
DOID_5327	9
DOID_0050400	1
DOID_0050401	1
DOID_5854	9
DOID_5855	9
DOID_0050216	1
DOID_12259	7
DOID_12258	1
DOID_12929	7
DOID_12928	1
DOID_12251	1
DOID_12926	7
DOID_12253	7
DOID_12924	1
DOID_12255	1
DOID_12254	1
DOID_12921	1
DOID_12256	1
DOID_0050211	6
DOID_11693	10
DOID_1091	6
DOID_11695	7
DOID_11696	1
DOID_11697	1
DOID_11699	1
DOID_929	8
DOID_0060766	5
DOID_0060767	5
DOID_0060764	5
DOID_0060765	5
DOID_0060762	6
DOID_0060763	11
DOID_0060760	8
DOID_0060761	11
DOID_0060768	6
DOID_0060769	8
DOID_10646	5
DOID_920	1
DOID_9931	6
DOID_2679	8
DOID_2678	7
DOID_2676	1
DOID_2673	7
DOID_2671	7
DOID_2670	7
DOID_2280	8
DOID_9932	1
DOID_9935	9
DOID_5086	1
DOID_9936	10
DOID_0090050	10
DOID_10077	1
DOID_10076	1
DOID_10075	6
DOID_4535	6
DOID_4532	1
DOID_10071	8
DOID_4531	10
DOID_882	6
DOID_0070092	7
DOID_10079	7
DOID_10078	1
DOID_434	1
DOID_435	1
DOID_436	8
DOID_125	7
DOID_122	1
DOID_431	8
DOID_3078	8
DOID_121	6
DOID_3076	8
DOID_3077	1
DOID_3074	9
DOID_3075	1
DOID_6000	6
DOID_6001	8
DOID_6002	1
DOID_3071	9
DOID_2327	7
DOID_2249	1
DOID_2247	8
DOID_13257	1
DOID_2242	1
DOID_5429	7
DOID_2240	1
DOID_2241	1
DOID_13832	7
DOID_4545	9
DOID_13947	1
DOID_13521	7
DOID_5652	1
DOID_9203	1
DOID_5082	7
DOID_5654	1
DOID_9753	1
DOID_5655	9
DOID_13834	1
DOID_9754	9
DOID_0050981	9
DOID_157	1
DOID_0050983	9
DOID_0050982	9
DOID_0050985	9
DOID_0050984	9
DOID_0050987	9
DOID_404	9
DOID_0050989	9
DOID_0050988	9
DOID_14131	7
DOID_7505	8
DOID_0050504	1
DOID_7502	10
DOID_5937	1
DOID_10763	7
DOID_13579	8
DOID_5936	12
DOID_10762	7
DOID_13573	1
DOID_5660	7
DOID_5663	1
DOID_4706	9
DOID_13577	1
DOID_13576	7
DOID_5667	8
DOID_0050500	1
DOID_0050189	1
DOID_0050152	9
DOID_0110498	9
DOID_0110499	9
DOID_4850	1
DOID_0050181	1
DOID_0050180	1
DOID_0050183	1
DOID_8337	7
DOID_0050185	6
DOID_0050184	1
DOID_0110492	9
DOID_0050186	1
DOID_7202	10
DOID_7207	10
DOID_7206	7
DOID_14402	8
DOID_7756	10
DOID_14400	7
DOID_7754	1
DOID_7753	1
DOID_7752	8
DOID_7750	11
DOID_11360	5
DOID_0111019	11
DOID_4157	7
DOID_0050154	1
DOID_7824	10
DOID_0111013	11
DOID_0111012	11
DOID_0111011	11
DOID_0111010	11
DOID_0111017	11
DOID_3838	1
DOID_0111015	11
DOID_0111014	11
DOID_4954	1
DOID_4955	8
DOID_4956	1
DOID_4957	9
DOID_1432	9
DOID_4952	6
DOID_4953	5
DOID_13757	9
DOID_13756	10
DOID_13755	1
DOID_13754	1
DOID_13753	1
DOID_13302	1
DOID_13751	1
DOID_13750	1
DOID_0080005	7
DOID_0080004	1
DOID_0050367	1
DOID_0080006	7
DOID_0050361	1
DOID_8515	7
DOID_0050363	1
DOID_0050362	1
DOID_0110722	8
DOID_13304	1
DOID_0110720	8
DOID_0110721	8
DOID_0110726	8
DOID_0080008	7
DOID_0110724	8
DOID_13305	1
DOID_7236	11
DOID_6945	8
DOID_8768	1
DOID_3464	1
DOID_6947	8
DOID_0110056	10
DOID_3836	1
DOID_12119	7
DOID_5422	1
DOID_12117	7
DOID_14436	1
DOID_10011	7
DOID_782	6
DOID_10013	1
DOID_14067	7
DOID_6710	1
DOID_14438	1
DOID_1695	1
DOID_1696	1
DOID_1697	6
DOID_1698	1
DOID_1699	7
DOID_10544	8
DOID_0110632	10
DOID_10018	1
DOID_166	8
DOID_2809	1
DOID_2800	9
DOID_2801	9
DOID_2002	1
DOID_0060817	9
DOID_0110872	6
DOID_0110873	6
DOID_0110870	11
DOID_0110871	11
DOID_0110876	6
DOID_0110877	6
DOID_0110874	6
DOID_0110875	6
DOID_0110878	6
DOID_0110879	6
DOID_9179	1
DOID_4005	11
DOID_1342	7
DOID_1343	6
DOID_1340	7
DOID_1341	1
DOID_2003	1
DOID_1579	4
DOID_12004	1
DOID_12000	1
DOID_12001	8
DOID_12002	8
DOID_12003	8
DOID_0110057	10
DOID_12336	6
DOID_1578	8
DOID_1203	7
DOID_4322	8
DOID_4321	8
DOID_4320	10
DOID_4327	5
DOID_1206	6
DOID_1205	6
DOID_1204	1
DOID_0070147	9
DOID_0070146	8
DOID_0070145	8
DOID_0070144	7
DOID_0070143	7
DOID_0070142	7
DOID_0070141	7
DOID_12621	1
DOID_2005	1
DOID_0060808	9
DOID_2006	12
DOID_0060409	6
DOID_0060408	6
DOID_0060407	6
DOID_0060406	6
DOID_0060405	6
DOID_0060404	6
DOID_0060403	6
DOID_0060402	6
DOID_0060401	6
DOID_0060400	6
DOID_0110791	8
DOID_2007	11
DOID_0060153	9
DOID_7224	9
DOID_11203	12
DOID_11202	7
DOID_11201	5
DOID_11200	6
DOID_7986	10
DOID_11206	6
DOID_7984	11
DOID_2008	1
DOID_14188	6
DOID_14184	8
DOID_14183	8
DOID_14182	1
DOID_14181	10
DOID_5052	6
DOID_5053	1
DOID_5050	8
DOID_5056	11
DOID_5057	11
DOID_609	1
DOID_5055	1
DOID_607	6
DOID_606	7
DOID_605	8
DOID_5059	11
DOID_603	9
DOID_602	9
DOID_600	8
DOID_1148	4
DOID_11060	8
DOID_1975	7
DOID_1974	8
DOID_1977	1
DOID_14360	1
DOID_1971	1
DOID_10339	1
DOID_14365	6
DOID_1972	1
DOID_10334	1
DOID_10337	9
DOID_1979	9
DOID_1978	1
DOID_10332	1
DOID_5588	9
DOID_5589	1
DOID_5580	8
DOID_5583	9
DOID_5584	1
DOID_5585	10
DOID_5587	6
DOID_5853	9
DOID_1067	9
DOID_3195	1
DOID_3194	1
DOID_3197	10
DOID_3196	9
DOID_1066	10
DOID_3193	8
DOID_3192	8
DOID_3199	12
DOID_3198	9
DOID_7568	1
DOID_2584	1
DOID_0110265	10
DOID_2586	1
DOID_0110263	10
DOID_2580	5
DOID_2583	7
DOID_0110260	10
DOID_2581	4
DOID_2589	1
DOID_7565	10
DOID_7566	9
DOID_0110268	10
DOID_5647	1
DOID_4705	1
DOID_13326	11
DOID_6618	1
DOID_13324	1
DOID_13325	1
DOID_3223	7
DOID_3222	8
DOID_6613	10
DOID_6612	7
DOID_3227	7
DOID_10837	1
DOID_13328	10
DOID_13329	10
DOID_2059	6
DOID_2058	8
DOID_2053	6
DOID_2052	1
DOID_2051	9
DOID_2050	10
DOID_2056	1
DOID_2055	6
DOID_0110003	8
DOID_0110002	8
DOID_0110001	8
DOID_0110000	8
DOID_0110007	12
DOID_0110006	8
DOID_0110005	10
DOID_0110004	8
DOID_7696	8
DOID_7697	8
DOID_0110009	12
DOID_0050026	7
DOID_7692	1
DOID_7693	9
DOID_8485	1
DOID_1593	1
DOID_1592	1
DOID_1591	10
DOID_1597	1
DOID_1596	6
DOID_1595	8
DOID_1599	1
DOID_1577	8
DOID_6804	11
DOID_6807	1
DOID_6800	1
DOID_6801	1
DOID_6802	1
DOID_6803	1
DOID_0050445	9
DOID_6808	1
DOID_6809	10
DOID_0080070	6
DOID_0050100	1
DOID_0050798	6
DOID_0050799	7
DOID_8161	8
DOID_0050795	9
DOID_8163	1
DOID_0050797	6
DOID_0050790	7
DOID_0050791	8
DOID_8167	9
DOID_0050793	7
DOID_5529	11
DOID_0050372	1
DOID_2125	1
DOID_9348	9
DOID_9346	7
DOID_9340	1
DOID_9341	6
DOID_2865	1
DOID_12497	1
DOID_12496	1
DOID_12491	9
DOID_5870	8
DOID_5871	1
DOID_0050428	8
DOID_0050429	9
DOID_5874	7
DOID_5875	6
DOID_5876	9
DOID_5877	7
DOID_0050422	1
DOID_0050423	1
DOID_0050420	1
DOID_0050421	1
DOID_0050426	6
DOID_0050427	7
DOID_0050424	7
DOID_0050425	6
DOID_2862	6
DOID_0050370	1
DOID_2123	6
DOID_12273	9
DOID_12271	10
DOID_12270	8
DOID_12276	7
DOID_12275	8
DOID_12274	1
DOID_2588	1
DOID_550	1
DOID_5208	14
DOID_13336	8
DOID_686	8
DOID_8746	1
DOID_0050377	1
DOID_2120	6
DOID_2615	6
DOID_2614	7
DOID_2617	1
DOID_2616	7
DOID_2610	1
DOID_0050374	1
DOID_1723	1
DOID_10690	6
DOID_10025	1
DOID_8854	1
DOID_11134	9
DOID_4514	8
DOID_4515	7
DOID_4517	8
DOID_4510	8
DOID_4511	8
DOID_4512	8
DOID_4513	10
DOID_8857	7
DOID_7591	7
DOID_7042	11
DOID_6574	1
DOID_6575	9
DOID_6576	11
DOID_6577	1
DOID_6570	1
DOID_0050870	8
DOID_3052	8
DOID_6573	1
DOID_0050238	1
DOID_6579	8
DOID_2265	1
DOID_0110707	7
DOID_9813	1
DOID_9366	1
DOID_9367	1
DOID_10941	10
DOID_9360	8
DOID_9817	1
DOID_11820	8
DOID_0050338	5
DOID_9363	1
DOID_8811	1
DOID_14798	9
DOID_0080057	9
DOID_14793	8
DOID_14790	1
DOID_14791	9
DOID_14796	4
DOID_8541	13
DOID_8540	1
DOID_0080052	10
DOID_0080053	7
DOID_3709	11
DOID_0110300	11
DOID_418	7
DOID_419	6
DOID_13519	1
DOID_0050842	10
DOID_5649	1
DOID_5648	7
DOID_13515	7
DOID_145	1
DOID_410	1
DOID_5644	8
DOID_5643	7
DOID_5642	9
DOID_414	1
DOID_415	1
DOID_0050167	9
DOID_0050166	9
DOID_0050165	1
DOID_8935	1
DOID_0050234	1
DOID_8757	7
DOID_0050161	5
DOID_8852	1
DOID_8932	1
DOID_8758	1
DOID_8759	1
DOID_0050169	8
DOID_8933	1
DOID_7735	7
DOID_7226	1
DOID_7225	1
DOID_7736	10
DOID_7731	9
DOID_7222	9
DOID_7733	11
DOID_7732	10
DOID_14424	1
DOID_12475	7
DOID_14426	1
DOID_14427	7
DOID_13338	1
DOID_12806	1
DOID_14422	7
DOID_14423	9
DOID_0111031	7
DOID_0111030	7
DOID_0111033	7
DOID_0111032	8
DOID_0111035	10
DOID_0111034	7
DOID_0111037	7
DOID_5574	7
DOID_0111039	7
DOID_0111038	7
DOID_5577	7
DOID_0110803	8
DOID_5576	6
DOID_12802	7
DOID_0110802	8
DOID_13915	1
DOID_4393	1
DOID_9630	1
DOID_5570	8
DOID_8576	1
DOID_0080062	9
DOID_8574	6
DOID_0080060	9
DOID_0110744	9
DOID_0050306	1
DOID_0050305	1
DOID_0050304	9
DOID_0110748	1
DOID_0110749	9
DOID_0050309	1
DOID_0080068	9
DOID_1133	1
DOID_8578	8
DOID_9141	1
DOID_5400	1
DOID_9142	1
DOID_1875	6
DOID_7323	1
DOID_9143	1
DOID_1876	5
DOID_0090141	6
DOID_0090140	6
DOID_0090143	7
DOID_0090142	6
DOID_0090145	5
DOID_0090144	7
DOID_5814	1
DOID_5815	11
DOID_4418	9
DOID_0050444	6
DOID_1873	1
DOID_0050230	1
DOID_1394	7
DOID_13739	7
DOID_12145	6
DOID_5810	8
DOID_13738	7
DOID_12180	1
DOID_0050447	1
DOID_0110125	8
DOID_4930	10
DOID_9487	4
DOID_4931	9
DOID_9481	1
DOID_9483	10
DOID_9482	1
DOID_9489	1
DOID_13049	1
DOID_0110527	9
DOID_8288	9
DOID_8289	1
DOID_13730	11
DOID_8281	1
DOID_8282	8
DOID_8283	5
DOID_8285	1
DOID_8286	1
DOID_8287	1
DOID_0110818	8
DOID_0110819	8
DOID_9159	6
DOID_13732	10
DOID_2868	1
DOID_2869	1
DOID_0110810	8
DOID_9620	6
DOID_9151	1
DOID_9150	1
DOID_0110814	8
DOID_9624	1
DOID_2860	9
DOID_1729	7
DOID_1364	8
DOID_13040	1
DOID_1360	8
DOID_1361	8
DOID_1362	8
DOID_1363	8
DOID_3731	1
DOID_3730	1
DOID_3733	6
DOID_3732	1
DOID_3734	1
DOID_12068	1
DOID_12069	1
DOID_3739	1
DOID_12067	1
DOID_12064	9
DOID_12065	1
DOID_12061	1
DOID_6200	1
DOID_2344	6
DOID_12076	1
DOID_7325	1
DOID_0070161	8
DOID_0070160	8
DOID_0070162	8
DOID_8763	1
DOID_3883	7
DOID_3881	1
DOID_10401	1
DOID_12528	10
DOID_0060424	6
DOID_0060427	6
DOID_0060426	6
DOID_0060421	6
DOID_0060420	6
DOID_0060423	6
DOID_0060422	6
DOID_0060429	5
DOID_0060428	6
DOID_12688	1
DOID_12689	9
DOID_12683	9
DOID_12680	7
DOID_12687	1
DOID_12684	1
DOID_12685	7
DOID_14654	7
DOID_0110946	10
DOID_11269	10
DOID_11268	1
DOID_11265	6
DOID_11264	1
DOID_11267	10
DOID_11266	5
DOID_11261	1
DOID_11260	5
DOID_11263	6
DOID_11262	6
DOID_10132	5
DOID_10133	1
DOID_14163	1
DOID_10131	6
DOID_10688	6
DOID_14164	1
DOID_14166	1
DOID_10685	6
DOID_10686	9
DOID_10139	9
DOID_5078	6
DOID_5070	1
DOID_5071	1
DOID_5072	1
DOID_5073	1
DOID_5074	7
DOID_5075	8
DOID_5076	7
DOID_5077	9
DOID_625	8
DOID_624	9
DOID_1166	4
DOID_626	6
DOID_621	1
DOID_620	5
DOID_622	1
DOID_629	1
DOID_628	6
DOID_11080	6
DOID_11083	1
DOID_11085	1
DOID_11084	1
DOID_11086	9
DOID_11088	5
DOID_0060180	7
DOID_0050339	5
DOID_14305	8
DOID_14304	1
DOID_10354	8
DOID_10352	8
DOID_10353	10
DOID_10350	8
DOID_10351	1
DOID_0060186	8
DOID_14308	8
DOID_0060187	8
DOID_2022	1
DOID_0060877	7
DOID_11889	8
DOID_11888	10
DOID_176	6
DOID_3899	1
DOID_11885	6
DOID_11887	7
DOID_0070113	9
DOID_11705	6
DOID_0050337	1
DOID_171	7
DOID_3890	7
DOID_3891	8
DOID_0050334	1
DOID_170	5
DOID_0110249	10
DOID_0110248	10
DOID_0110245	10
DOID_0110244	10
DOID_0110247	10
DOID_0110246	10
DOID_0110241	10
DOID_0110240	10
DOID_0110243	10
DOID_0110242	10
DOID_4708	9
DOID_1958	1
DOID_2021	8
DOID_0050335	9
DOID_7506	9
DOID_4700	1
DOID_7504	1
DOID_4702	6
DOID_1957	1
DOID_7503	9
DOID_4707	10
DOID_1954	1
DOID_889	1
DOID_888	6
DOID_13658	8
DOID_4852	8
DOID_4855	8
DOID_4857	1
DOID_4856	8
DOID_4859	1
DOID_13653	9
DOID_883	5
DOID_13303	1
DOID_885	6
DOID_884	6
DOID_13654	9
DOID_13307	1
DOID_6639	10
DOID_6634	10
DOID_6632	1
DOID_6631	1
DOID_6630	1
DOID_0110029	9
DOID_0110028	13
DOID_0110021	13
DOID_0110020	13
DOID_0110023	13
DOID_0110022	13
DOID_0110025	13
DOID_0110024	13
DOID_0110027	13
DOID_0110026	13
DOID_0050333	1
DOID_2024	11
DOID_0050330	1
DOID_0050331	7
DOID_0060282	8
DOID_8149	8
DOID_8148	1
DOID_8146	1
DOID_8145	1
DOID_8144	12
DOID_8140	11
DOID_9812	1
DOID_9365	6
DOID_9810	7
DOID_9811	11
DOID_9816	1
DOID_9361	1
DOID_9362	8
DOID_9815	1
DOID_9818	1
DOID_9819	1
DOID_9368	8
DOID_9369	10
DOID_2785	8
DOID_14419	1
DOID_12474	6
DOID_0050440	7
DOID_0050441	8
DOID_0050442	1
DOID_0050443	1
DOID_5812	8
DOID_5813	7
DOID_0050446	1
DOID_5811	1
DOID_0050448	6
DOID_0050449	7
DOID_112	7
DOID_5818	1
DOID_5819	1
DOID_9513	10
DOID_2100	1
DOID_12215	8
DOID_12214	1
DOID_12217	8
DOID_12211	9
DOID_12210	1
DOID_8020	8
DOID_7880	9
DOID_8021	1
DOID_12141	1
DOID_2124	1
DOID_9518	1
DOID_12698	7
DOID_0050071	1
DOID_0050355	1
DOID_2639	9
DOID_0050070	1
DOID_14512	8
DOID_117	6
DOID_8026	1
DOID_0050356	1
DOID_14513	1
DOID_116	7
DOID_2633	1
DOID_2632	9
DOID_2631	1
DOID_2630	1
DOID_2637	1
DOID_2636	9
DOID_2635	1
DOID_2634	7
DOID_4288	9
DOID_4289	9
DOID_4638	8
DOID_0050357	1
DOID_4285	1
DOID_4286	9
DOID_4287	10
DOID_4280	9
DOID_4281	9
DOID_4282	9
DOID_4283	9
DOID_115	7
DOID_3948	8
DOID_3949	1
DOID_3943	1
DOID_3946	7
DOID_3947	7
DOID_3944	1
DOID_3945	1
DOID_11748	7
DOID_11749	1
DOID_0050350	1
DOID_11742	1
DOID_11741	1
DOID_11746	10
DOID_11747	9
DOID_14723	7
DOID_0060858	4
DOID_0060859	6
DOID_0060854	8
DOID_0060855	8
DOID_0060856	5
DOID_0060857	6
DOID_0060850	6
DOID_0060851	9
DOID_0060852	7
DOID_0060853	6
DOID_8200	7
DOID_10541	10
DOID_0050351	1
DOID_1018	1
DOID_1019	8
DOID_0060690	9
DOID_4284	8
DOID_0050656	7
DOID_4637	8
DOID_1508	7
DOID_4636	9
DOID_4029	6
DOID_214	7
DOID_0050352	7
DOID_8207	8
DOID_0060691	7
DOID_0110123	8
DOID_7232	9
DOID_0050353	7
DOID_0080038	9
DOID_4027	1
DOID_11520	10
DOID_8486	1
DOID_11255	1
DOID_13981	1
DOID_9941	1
DOID_2282	7
DOID_0060697	6
DOID_11257	7
DOID_7306	1
DOID_10882	5
DOID_2283	9
DOID_14502	7
DOID_2789	5
DOID_14501	7
DOID_5625	9
DOID_5624	9
DOID_13823	10
DOID_10881	5
DOID_13825	10
DOID_13824	1
DOID_5623	9
DOID_5622	1
DOID_13829	1
DOID_168	1
DOID_169	6
DOID_5629	11
DOID_5628	10
DOID_13538	9
DOID_10693	1
DOID_7718	10
DOID_0060695	5
DOID_10692	1
DOID_7245	1
DOID_7712	1
DOID_7710	1
DOID_7717	10
DOID_7716	10
DOID_7242	8
DOID_14446	1
DOID_14447	7
DOID_14444	11
DOID_14445	11
DOID_14443	8
DOID_10125	10
DOID_14448	8
DOID_14449	9
DOID_0080179	8
DOID_13799	8
DOID_14152	9
DOID_0080178	5
DOID_13792	1
DOID_13791	9
DOID_13790	9
DOID_13797	1
DOID_13796	1
DOID_13794	10
DOID_8900	1
DOID_0080171	5
DOID_0050250	6
DOID_0080173	4
DOID_0080172	5
DOID_0080175	5
DOID_0080174	5
DOID_8778	7
DOID_8779	1
DOID_0050149	1
DOID_0050148	6
DOID_0050145	6
DOID_8771	5
DOID_0050147	9
DOID_0050256	6
DOID_0050141	7
DOID_8775	1
DOID_0050143	6
DOID_0050142	1
DOID_9081	1
DOID_8481	8
DOID_2975	6
DOID_0110944	10
DOID_0110945	10
DOID_9085	1
DOID_9084	1
DOID_5456	1
DOID_0110940	10
DOID_9086	1
DOID_0080049	9
DOID_0080048	1
DOID_8808	1
DOID_8809	1
DOID_8558	1
DOID_8559	1
DOID_0110768	8
DOID_0110769	8
DOID_8802	6
DOID_0110767	8
DOID_0080043	9
DOID_0050322	1
DOID_0110762	1
DOID_0080044	9
DOID_0050327	1
DOID_8805	8
DOID_0110836	9
DOID_0110837	9
DOID_2846	5
DOID_2847	1
DOID_0110832	9
DOID_2841	7
DOID_2842	9
DOID_0110831	9
DOID_9603	8
DOID_9602	7
DOID_9601	7
DOID_9600	7
DOID_1382	7
DOID_1383	6
DOID_1380	9
DOID_1381	7
DOID_1386	7
DOID_1387	6
DOID_1384	1
DOID_1016	1
DOID_1388	7
DOID_1389	6
DOID_8580	7
DOID_319	6
DOID_3717	9
DOID_3716	11
DOID_3715	1
DOID_12043	7
DOID_3713	6
DOID_3712	1
DOID_3711	8
DOID_3710	9
DOID_8108	8
DOID_3718	1
DOID_318	8
DOID_0060195	9
DOID_0060194	9
DOID_0060197	9
DOID_0060196	9
DOID_0060191	8
DOID_0060190	8
DOID_0060193	9
DOID_0060192	8
DOID_0060199	9
DOID_0060198	9
DOID_0070103	1
DOID_0070102	1
DOID_0070101	1
DOID_0070100	8
DOID_0070107	1
DOID_0070106	1
DOID_0070105	1
DOID_8832	1
DOID_7168	9
DOID_0070109	1
DOID_0070108	1
DOID_7169	9
DOID_8909	1
DOID_0070104	1
DOID_8831	1
DOID_0110669	10
DOID_0060443	10
DOID_0060442	10
DOID_0060441	10
DOID_0060440	10
DOID_0060447	11
DOID_0060446	11
DOID_0060445	11
DOID_0060444	11
DOID_0060449	11
DOID_0060448	11
DOID_3443	9
DOID_0060068	8
DOID_8411	7
DOID_3621	1
DOID_3620	7
DOID_11247	7
DOID_11246	8
DOID_11245	9
DOID_11244	6
DOID_11243	7
DOID_11534	1
DOID_11241	9
DOID_2365	5
DOID_11249	7
DOID_11248	1
DOID_10114	1
DOID_10115	1
DOID_10116	1
DOID_10117	1
DOID_10110	1
DOID_10111	1
DOID_10112	7
DOID_10113	6
DOID_10118	1
DOID_5019	1
DOID_5016	10
DOID_5017	1
DOID_5015	10
DOID_0080148	10
DOID_10327	9
DOID_7174	9
DOID_374	5
DOID_8336	7
DOID_90	9
DOID_4499	1
DOID_14143	1
DOID_4490	7
DOID_4493	1
DOID_4492	6
DOID_14146	6
DOID_14145	10
DOID_12700	5
DOID_13498	6
DOID_0060245	8
DOID_10324	9
DOID_0060244	8
DOID_13490	12
DOID_13491	12
DOID_13492	12
DOID_0060715	7
DOID_3151	8
DOID_3153	6
DOID_0060246	8
DOID_3154	1
DOID_3157	1
DOID_3156	6
DOID_3159	7
DOID_6386	13
DOID_6385	1
DOID_6384	1
DOID_6383	12
DOID_6382	1
DOID_6381	10
DOID_6380	1
DOID_0110229	10
DOID_0110228	10
DOID_2545	1
DOID_0060711	7
DOID_2547	1
DOID_2546	1
DOID_2549	1
DOID_0110222	8
DOID_0110221	8
DOID_0110220	8
DOID_0110227	10
DOID_0110226	8
DOID_0110225	8
DOID_0110224	8
DOID_10378	9
DOID_10379	1
DOID_7526	1
DOID_7527	10
DOID_7520	9
DOID_7521	8
DOID_7522	10
DOID_4728	1
DOID_14327	1
DOID_14326	1
DOID_4725	1
DOID_14324	7
DOID_14323	6
DOID_10375	9
DOID_10376	8
DOID_10377	9
DOID_4877	8
DOID_4876	7
DOID_4875	8
DOID_208	1
DOID_4873	9
DOID_13679	1
DOID_4871	8
DOID_4870	12
DOID_203	9
DOID_13675	1
DOID_13676	10
DOID_200	8
DOID_13670	1
DOID_206	10
DOID_205	8
DOID_204	6
DOID_6654	11
DOID_6657	7
DOID_6650	1
DOID_6652	8
DOID_0050761	6
DOID_6659	10
DOID_6658	9
DOID_412	1
DOID_2097	11
DOID_2096	9
DOID_0110593	9
DOID_0110592	9
DOID_2093	9
DOID_2092	9
DOID_2091	1
DOID_0110596	6
DOID_0110599	6
DOID_0110598	6
DOID_2099	1
DOID_2098	10
DOID_0050760	8
DOID_0050036	1
DOID_0050913	9
DOID_4148	7
DOID_159	1
DOID_8610	1
DOID_7380	8
DOID_7381	8
DOID_10808	6
DOID_10809	1
DOID_7384	1
DOID_7385	1
DOID_7387	1
DOID_7388	8
DOID_7389	7
DOID_10807	1
DOID_0050063	1
DOID_0111170	8
DOID_0110892	7
DOID_8125	8
DOID_0110893	7
DOID_8121	1
DOID_8120	1
DOID_8122	9
DOID_9838	11
DOID_9839	12
DOID_9834	9
DOID_9835	8
DOID_9836	1
DOID_0050764	9
DOID_0110898	7
DOID_156	1
DOID_0110899	7
DOID_12185	8
DOID_5838	8
DOID_5839	1
DOID_0050468	4
DOID_5389	7
DOID_5834	8
DOID_5387	7
DOID_0050464	7
DOID_0050465	8
DOID_12189	1
DOID_0050463	9
DOID_5832	1
DOID_5381	7
DOID_155	1
DOID_0050766	8
DOID_154	6
DOID_3519	1
DOID_5391	8
DOID_0060296	7
DOID_4128	1
DOID_0060294	7
DOID_0060295	7
DOID_0060292	5
DOID_0060293	5
DOID_0060290	5
DOID_0060291	4
DOID_4121	1
DOID_1440	9
DOID_4123	5
DOID_1442	8
DOID_0060298	7
DOID_0060299	7
DOID_12451	6
DOID_12450	6
DOID_0050926	10
DOID_11189	8
DOID_11180	9
DOID_11181	10
DOID_11182	1
DOID_11183	1
DOID_11184	10
DOID_11186	7
DOID_5826	7
DOID_10543	1
DOID_4263	1
DOID_4260	9
DOID_4266	8
DOID_4267	7
DOID_4265	7
DOID_150	3
DOID_3962	8
DOID_3963	7
DOID_3964	9
DOID_3965	8
DOID_12239	9
DOID_3968	9
DOID_3969	8
DOID_12987	7
DOID_12234	6
DOID_12233	1
DOID_12232	1
DOID_12983	1
